label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
23	201652.0	543414	0.7018990230473525	23692.515625	335579.0	201652	201652.0	543414.0	335579.0	72.75585863943117	-1	0.3710835569197702	143.51654956833374	201652.0	122.69968774160958	47.87692099942618	0.6009076849266491
24	21585.0	110208	0.5694138652627581	6584.0146484375	42028.0	21585	21585.0	110208.0	42028.0	34.54494271920919	1	0.195856925087108	63.25345840347388	21585.0	56.91446370338602	32.9807213900594	0.5135861806414771
25	6739.0	38688	0.6161191056633325	2800.37646484375	13316.0	6739	6739.0	38688.0	13316.0	23.43503526345894	1	0.1741883788254756	50.21951811795888	6739.0	50.732853314060364	16.81125851281637	0.5060829077801141
26	11451.0	59400	0.7007188178812616	3506.194091796875	21218.0	11451	11451.0	59400.0	21218.0	27.965006897767022	1	0.19277777777777777	73.02739212103907	11451.0	60.21252960937909	18.299026020692676	0.539683287774531
27	561.0	1452	0.7763505385026586	423.70947265625	753.0	561	561.0	1452.0	753.0	10.232649057053917	1	0.38636363636363635	15.748015748023622	561.0	14.120778135263587	8.925668321824968	0.7450199203187251
28	435176.0	1526184	0.6735353279256421	41231.93359375	683837.0	435176	435176.0	1526184.0	683837.0	94.02040217250993	-4	0.2851399307029821	148.35767590522573	435176.0	127.64123383805169	82.97272405133835	0.6363738727211309
29	20785.0	55080	0.8020471746915797	4558.10400390625	26538.0	20785	20785.0	55080.0	26538.0	34.11278173586908	1	0.3773602033405955	62.048368229954285	20785.0	60.88764940123767	15.732898541507659	0.7832165197075891
30	1882.0	4914	0.8239182942263588	894.7047119140625	2363.0	1882	1882.0	4914.0	2363.0	15.318174018889874	1	0.382987382987383	23.40939982143925	1882.0	22.215361888882068	12.263283368803963	0.7964451967837495
31	673.0	2040	0.6990364445455148	531.28515625	883.0	673	673.0	2040.0	883.0	10.872735270958106	1	0.3299019607843137	19.44222209522358	673.0	19.14365986354809	8.9285674067327	0.7621744054360136
32	1937.0	8381	0.55051677873512	1365.0020751953125	2837.0	1937	1937.0	8381.0	2837.0	15.465964161324754	1	0.23111800501133517	30.675723300355934	1937.0	33.606991178872555	9.589101059443022	0.6827634825519915
